key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
7003	Expiration date and time (YYMMDDhhmm)	معرف تاريخ انتهاء الصلاحية والوقت	有效期限日期與時間 (YYMMDDhhmm)	产品的有效日期和时间 (YYMMDDhhmm)	Expiratiedatum en tijd	Verfallsdatum und -zeit (JJMMTTSSMM)	Ημερομηνία Και Ώρα Λήξης	有効期限（日時分）	Derīguma termiņa datums un laiks (GGMMDDhhmm)	Data e Hora de Validade (AAMMDD/HH/MM)	Fecha y hora de caducidad (AAAAMMDDhhmm)	วันและเวลาที่หมดอายุ (YYMMDDhhmm)	Data e tempo massimo di scadenza
7004	Active potency	معرف القدرة الفعالة	活性成分	活性值	Hoogte werkzame stof	Aktive Potenz	Δραστικότητα (Αφορά Σε Φαρμακευτικά Προϊόντα)	力価（アクティブ・ポテンシー）	Aktīvā potenciālā iedarbība	Potência Ativa	Potencia activa  (AAMMDDhhmm)	ความแรงของสารออกฤทธิ์	Principio attivo
7005	Catch area	معرف منطقة الالتقاط	捕漁區域	捕渔区域	Vangstgebied	Fanggebiet	Τόπος Αλίευσης	漁獲水域	Nozvejas apgabals	Zona de Captura	Zona de captura	พื้นที่ทำการประมง	Zona geografica di cattura
7006	First freeze date (YYMMDD)	تاريخ التجميد الأول	第一次冰封日 (YYMMDD)	初次冷冻日期 (YYMMDD)	Datum van invriezen (JJMMDD)	Erstes Einfrierdatum (JJMMTT)	Ημερομηνία Πρώτης Κατάψυξης	最初の冷凍日	Pirmās sasaldēšanas datums (GGMMDD)	Data Primeiro Congelamento  (AAMMDD)	Primera fecha de congelación (AAMMDD)	วันที่แช่แข็งครั้งแรก สำหรับสินค้าแช่แข็ง (YYMMDD)	Data di primo congelamento (YYMMDD)
7007	Harvest date (YYMMDD[YYMMDD])	تاريخ الحصاد	收割日 (YYMMDD[YYMMDD])	收割日 (YYMMDD[YYMMDD])	Oogstdatum (JJMMDD[JJMMDD])	Erntedatum (JJMMTT[JJMMTT])	Ημερομηνία Συγκομιδής	収穫期間/日 （漁獲・屠畜・収穫など）	Ražas novākšanas datums (GGMMDD[GGMMDD])	Data de Captura (data início e data de fim) (AAMMDD[AAMMDD])	Fecha de cosecha ([AAMMDD[AAMMDD])	วันที่เก็บเกี่ยวผลผลิต (YYMMDD[(YYMMDD])	Data di raccolta (YYMMDD[YYMMDD])
7008	Species for fishery purposes	العينات لغايات الصيد	漁獲種類	渔获种类	Soorten voor visserijdoeleinden	Fischspezies	Είδη Για Σκοπούς Αλιείας (Αφορά Προϊόντα Αλιείας Και Υδατοκαλλιέργειας)	魚種	Sugas zivjsaimniecības izpratnē	Código FAO de Espécies do Pescado	Especies con fines pesqueros	สายพันธุ์สัตว์น้ำ	Codice FAO alfa-3 di ogni specie ittica
7009	Fishing gear type	معرف نوع معدات الصيد	漁具種類	渔具种类	Type visgerei	Fanggerätekategorie	Τύπος Εξοπλισμού Αλιείας	漁具タイプ	Zvejas rīku veids	Tipo de Arte da Pesca	Tipo de equipo de Pesca	ประเภทเครื่องมือประมง	Categoria di attrezzi usati per la cattura
7010	Production method	معرف طريقة الإنتاج	生產方法	生产方法	Productiemethode	Produktionsmethode	Μέθοδος Παραγωγής	水産物の漁獲/生産方法	Ražošanas metode	Método de Produção	Método de producción	วิธีการผลิต	Metodo si produzione
7011	Test by date (YYMMDD[hhmm])	الاختبار حسب التاريخ	测试日期（时间）(YYMMDD[hhmm])	测试日期（时间）(YYMMDD[hhmm])	Test vanaf datum (JJMMDD[uumm])	Prüfdatum (JJMMTT[SSMM])	Δοκιμή μέχρι και ημερομηνία	製品試験期限	Testēt līdz (GGMMDD[hhmm])	Data do Teste  (AAMMDD[hhmm])	Próxima fecha de prueba (AAMMDD[hhmm])	เลขหมายระบุล็อตที่มีการซ่อมแซมหรือแก้ไขใหม่ (YYMMDD[hhmm])	Data massima di test (YYMMDD[hhmm])
7020	Refurbishment lot ID	معرّف التجديد للدفعة	翻修品批號	翻新产品批号	Renovatie batchnummer	Losnummer der Wiederaufbereitung	ID Παρτίδας Ανακαίνισης	改修ロット番号	Renovācijas partijas ID	Identificação do Lote Remanufaturado	ID de lote remodelación		ID lotto ricondizionamento
7021	Functional status	معرف الحالة الوظيفية	功能狀況	功能状况	Functionele status	Funktionaler Status	Κατάσταση Λειτουργικότητας	ファンクショナル・ステータス	Funkcionālais statuss	Estado Funcional	Estado funcional	สถานะการทำงาน	Stato di funzionamento
7022	Revision status	معرف حالة المراجعة	改版狀況	修订状况	Revisiestatus	Revisionsstatus	Κατάσταση Ανασκόπησης	リビジョン・ステータス	Pārskatīšanas statuss	Estado Revisão	Estado de revisión	สถานะการแก้ไข	Stato di revisione
7023	Global Individual Asset Identifier (GIAI) of an assembly	المعرّف العالمي للأصول الثابتة GIAI من التجميع	全球內部資產組合物代碼 (GIAI)	组合件的全球单个资产标识代码 (GIAI)	Global Individual Asset Identifier (GIAI) van een assemblage	Global Individual Asset Identifier (GIAI) einer Baugruppe	Διεθνής Κωδικός Μεμονωμένων Παγίων (GIAI) Συναρμολόγησης	組立部品の資産管理識別番号	Grupējuma Globālais Individuālā Aktīva Identifikators (GIAI)	Número Global Individual de Ativos (GIAI) de Montagem	Identificador Global de un Bien Individual (GIAI) de un ensamblado	เลขหมายบ่งชี้สินทรัพย์สากล (GIAI) ของชิ้นส่วน	GIAI di un assemblaggio
703s	Number of processor with three-digit ISO country code	رقم المعالجات مع رمز البلد حسب الايزو ISO	處理單位及ISO國碼	具有3位ISO国家（或地区）代码的加工者核准号码	Nummer van verwerkingsbedrijf met ISO landencode	Nummer des Verarbeitungsbetriebes mit ISO Ländercode	Αριθμός Έγκρισης Επεξεργαστή/Μεταποιητή Με ISO Κωδικό Χώρας	屠畜施設・加工施設 承認番号	Pārstrādes uzņēmuma apstiprinājuma numurs ar ISO valsts kodu	Número de Aprovação do Processador com Código ISO de País	Número de procesador con código de país ISO	หมายเลขของตัวประมวลผลที่มีรหัสประเทศตามมาตรฐาน ISO	Numero di approvazione con codice paese ISO dell’operatore
7040	GS1 UIC with Extension 1 and Importer index	معرّف GS1 للرقم التعريفي المميز مع امتداد 1 و فهرس المستورد	GS1 唯一識別碼延伸碼 1及進口商索引號碼	GS1 UIC扩展1和进口商目录	GS1 UIC met extensie 1 en importeurindex	GS1 UIC mit Erweiterung 1 und Importeur Index	Μοναδικός Κωδικός Αναγνώρισης GS1 (UIC) με Επέκταση Extension 1 και Δείκτη Εισαγωγέα (Importer Index) [Αφορά Καπνικά Προϊόντα]	GS1 UICのExtention１および輸入者番号	GS1 UIK ar paplašinājumu 1 un importētāja indeksu	GS1 UIC com Extensão 1 e Índex de Importador	GS1 UIC con extensión 1 e índice de Importador	GS1 UIC with Extension 1 และ Importer index	UIC GS1 con Estensione 1 e Codice dell’Importatore
7041	UN/CEFACT freight unit type	نوع وحدة الشحن UN/CEFACT	UN/CEFACT货运单元类型	UN/CEFACT货运单元类型	UN/CEFACT type vrachteenheid	Art der UN/CEFACT-Frachteinheit 		UN/CEFACT貨物単位タイプ	UN/CEFACT kravas vienības tips	Tipo de unidade de carga UN/CEFACT 		ประเภทหน่วยขนส่งของ UN/CEFACT	Tipo di unità di trasporto UN/CEFACT
710	National Healthcare Reimbursement Number (NHRN) - Germany PZN	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - ألمانيا PZN	國家醫療保險代碼，德國 (NHRN)	国家医疗保险代码，德国 (NHRN)	National Healthcare Reimbursement Number (NHRN) - Duitsland PZN	National Healthcare Reimbursement Number (NHRN) – Deutschland PZN	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων – Γερμανία, PZN	保険償還用番号（独）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Vācijas PZN	Número Nacional de Reembolso da Saúde - Germany PZN	Número nacional de reembolso en Salud (NHRN) - PZN Alemania	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - ประเทศเยอรมนี PZN	Numero nazionale di rimborso healthcare – Germany PZN
711	National Healthcare Reimbursement Number (NHRN) - France CIP	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - فرنسا CIP	國家醫療保險代碼，法國 (NHRN)	国家医疗保险代码，法国 (NHRN)	National Healthcare Reimbursement Number (NHRN) - Frankrijk CIP	National Healthcare Reimbursement Number (NHRN) – Frankreich CIP	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων – Γαλλία, CIP	保険償還用番号（仏）	Nacionālais veselības aprūpes atmakas numurs (NHRN) - Francijas CIP	Número Nacional de Reembolso da Saúde - France CIP	Número nacional de reembolso en Salud (NHRN) - CIP Francia	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - ประเทศฝรั่งเศส CIP	Numero nazionale di rimborso healthcare - (NHRN) – France CIP
712	National Healthcare Reimbursement Number (NHRN) - Spain CN	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - إسبانيا CN	國家醫療保險代碼，西班牙 (NHRN)	国家医疗保险代码，西班牙 (NHRN)	National Healthcare Reimbursement Number (NHRN) - Spanje CN	National Healthcare Reimbursement Number (NHRN) – Spanien CN	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων – Ισπανία, CN	保険償還用番号（西）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Spānijas CN	Número Nacional de Reembolso da Saúde - Spain CN	Número nacional de reembolso en Salud (NHRN) - CN España	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - ประเทศสเปน CN	Numero nazionale di rimborso healthcare -(NHRN) – Spain CN
713	National Healthcare Reimbursement Number (NHRN) - Brasil DRN	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - البرازيل DRN	國家醫療保險代碼，巴西 (NHRN)	国家医疗保险代码，巴西 (NHRN)	National Healthcare Reimbursement Number (NHRN) - Brazilië DRN	National Healthcare Reimbursement Number (NHRN) – Brasilien DRN	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων – Βραζιλία, DRN	保険償還用番号（伯）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Brazīlijas DRN	Número Nacional de Reembolso da Saúde - Brasil DRN	Número nacional de reembolso en Salud (NHRN) - DRN Brasil	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - ประเทศบราซิล DRN	Numero nazionale di rimborso healthcare -(NHRN) – Brasil DRN
714	National Healthcare Reimbursement Number (NHRN) - Portugal AIM	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - البرتغال AIM	國家醫療保險代碼，葡萄牙 (NHRN)	国家医疗保险代码，葡萄牙 (NHRN)	National Healthcare Reimbursement Number (NHRN) - Portugal AIM	National Healthcare Reimbursement Number (NHRN) – Portugal AIM	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων – Πορτογαλία AIM	保険償還用番号（葡）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Portugāles AIM	Número Nacional de Reembolso da Saúde - Portugal AIM	Número nacional de reembolso en Salud (NHRN) - AIM Portugal	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - ประเทศโปรตุเกส AIM	Numero nazionale di rimborso healthcare -(NHRN) – Portugal AIM
715	National Healthcare Reimbursement Number (NHRN) - United States of America NDC	رقم تعويضات الرعاية الصحية الوطنية (NHRN) - الولايات المتحدة الأمريكية NDC	國家醫療保險代碼,  美国 (NHRN)	国家医疗保险代码，美国(NHRN)	National Healthcare Reimbursement Number (NHRN) - USA NDC	National Healthcare Reimbursement Number (NHRN) – USA NDC	Εθνικός Αριθμός Αποζημίωσης Υγειονομικών Προϊόντων - Αμερική, NDC	保険償還用番号（米）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Amerikas Savienoto Valstu NDC	Número Nacional de Reembolso da Saúde - Estados Unidos da América NDC	Número nacional de reembolso en Salud (NHRN) - NDC USA	รหัสเบิกจ่ายเงินคืนด้านสาธารณสุขในระดับประเทศ - สหรัฐอเมริกา NDC	Numero nazionale di rimborso healthcare -(NHRN) – US NDC
716	National Healthcare Reimbursement Number (NHRN) - Italy AIC	رقم التعويض الوطني للرعاية الصحية (NHRN) - إيطاليا AIC	意大利国家医疗保险报销编号(NHRN) - AIC	意大利国家医疗保险报销编号(NHRN) - AIC	National Healthcare Reimbursement Number (NHRN) - Italië AIC	National Healthcare Reimbursement Number (NHRN) – Italien AIC		保険償還用番号（伊）	Nacionālais veselības aprūpes atmaksas numurs (NHRN) - Itālijas AIM	Número Nacional de Reembolso de Healthcare (NHRN) - Itália AIC		หมายเลขการเบิกค่ารักษาพยาบาลแห่งชาติ (NHRN) - อิตาลี AIC	Numero nazionale di rimborso healthcare -(NHRN) – Italy AIC
723n	Certification reference	معلومات الشهادة.	證書號碼	证书编码	Verwijzing naar certificering	Zertifizierungsnummer	Κωδικός Αναφοράς Πιστοποιητικού	証明書参照番号	Sertifikācijas atsauce	Referência de Certificação	Referencia para la certificación	การอ้างอิงใบรับรอง	Riferimento di certificazione
7240	Protocol ID	معرّف البروتوكول	協定識別碼	协议代码	Protocol-ID	Protokoll ID	Ταυτότητα ID Πρωτοκόλλου Κλινικής Δοκιμής	治験実施計画（プロトコル）	Protokola ID	ID do Protocolo	ID de protocolo	รหัสระเบียบการ (Protocol ID)	Protocol ID
7241	AIDC media type	نوع  وسائط التعريف والتقاط  الالي البيانات (AIDC)	AIDC媒体类型	AIDC媒体类型		AIDC Trägertyp	Τύπος Μέσου Ενσωμάτωσης Σήμανσης Αυτόματης Αναγνώρισης & Συλλογής Δεδομένων	AIDCメディアタイプ	AIDC multivides veids	Tipo de media de AIDC	AIDC Trägertyp	ประเภทสื่อของ AIDC	Tipo supporto AIDC
7242	Version Control Number (VCN)	رقم ادارة  الإصدار (VCN)	版本控制编号（VCN）	版本控制编号（VCN）		Versions-Kontrollnummer (VCN)	Αριθμός Αναφοράς Ελέγχου Έκδοσης (VCN)	バージョン管理番号（VCN）	Versijas kontroles numurs (VCN)	Número de control de versão (VCN)	Número de control de versión (VCN)	หมายเลขควบคุมเวอร์ชัน (VCN)	Numero di controllo della Versione
7250	Date of birth (YYYYMMDD)	تاريخ الميلاد (YYYYMMDD)	出生日期 (YYYYMMDD)	出生日期 (YYYYMMDD)	Geboortedatum (JJJJMMDD)	Geburtsdatum (JJJJMMTT)		生年月日	Dzimšanas datums (GGGGMMDD)	Data de nascimento (AAAAMMDD)	Fecha de Nacimiento (AAAAMMDD)	วันเกิด (ปี/เดือน/วัน)	Data di nascita (YYYYMMDD)
7251	Date and time of birth (YYYYMMDDhhmm)	تاريخ ووقت الميلاد (YYYYMMDDhhmm)	出生日期和时间 (YYYYMMDDhhmm)	出生日期和时间 (YYYYMMDDhhmm)	Geboortedatum en -tijd (JJJJMMDDuumm)	Geburtsdatum und -zeit (JJJJMMTTSSMM)		生年月日および時間	Dzimšanas datums un laiks (GGGGMMDDhhmm)	Data e hora de nascimento (AAAAMMDDhhmm)	Fecha y hora de nacimiento (AAAAMMDDhhmm).	วันและเวลาที่เกิด (ปี/เดือน/วัน/ชั่วโมง/นาที)	Data e ora di nascita (YYYYMMDDhhmm)
7252	Biological sex	الجنس البيولوجي	生理性别	生理性别	Biologisch geslacht	Biologisches Geschlecht		性別 （生物学的性）	Bioloģiskais dzimums	Sexo biológico	Género biológico	เพศสภาพ	Sesso biologico
7253	Family name of person	الاسم العائلي للشخص	人员姓氏	人员姓氏	Achternaam van persoon	Familienname		名字 （ラストネーム）	Personas uzvārds	Apelido da pessoa	Apellido	นามสกุล	Cognome della persona
7254	Given name of person	الاسم الأول للشخص	人员名字	人员名字	Voornaam van persoon	Vorname		名前 （ファーストネーム）	Personas vārds	Nome próprio da pessoa	Nombre	ชื่อจริง	Nome proprio della persona
7255	Name suffix of person	لاحقة اسم الشخص	人员姓名后缀	人员姓名后缀	Achtervoegsel van persoon	Namenszusatz		接尾辞 （名前につける称号）	Personas vārda sufikss	Sufixo do nome da pessoa	Grado familiar (ej. Jr., primero, segundo).	คำต่อท้ายชื่อ	Suffisso del nome della persona
7256	Full name of person	الاسم الكامل للشخص	人员全名	人员全名	Volledige naam van persoon	vollständiger Name		姓名 （フルネーム）	Personas pilnais vārds	Nome completo da pessoa	Nombre completo	ชื่อและนามสกุล	Nome completo della persona
7257	Address of person	عنوان الشخص	人员地址	人员地址	Adres van persoon	Wohnadresse		住所	Personas adrese	Endereço da pessoa	Dirección	ที่อยู่ของบุคคล	Indirizzo della persona
7258	Baby birth sequence	تسلسل ميلاد الطفل	婴儿出生顺序	婴儿出生顺序	Geboortevolgorde baby’s	Geburtsreihenfolge		新生児の誕生順序	Bērna dzimšanas secība	Sequência de nascimento do bebé	Secuencia de Nacimiento en gestaciones múltiples (gemelos, trillizos, etc.)	ลำดับการเกิดของทารก	Indicatore della sequenza di nascita del bambino
7259	Baby of family name	اسم الطفل العائلي	婴儿所属家庭姓氏	婴儿所属家庭姓氏	Baby van achternaam	Baby der Familie		新生児の名字	Uzvārda bērns	Nome de família do bébé	Apellido familiar (ej. Fam. Rosas).	นามสกุลของทารก	Bambino con cognome
8001	Roll products (width, length, core diameter, direction, splices)	منتجات مطوية (العرض ، الطول ، القطر الأساسي ، الاتجاه ، التوصيلات)	捆物（寬度、長度、核心維度、方向、切割）	卷状产品的尺寸-宽度，长度，内径，方向，拼接	Producten aan de rol (breedte, lengte, kern-/draaddiameter, rolrichting, verbindingen)	Sonderanwendung Rollenprodukte (Breite, Länge, Durchmesser, Richtung, Spleißungen)	Πλάτος, Μήκος, Διάμετρος Πυρήνα, Διεύθυνση Για Προϊόντα Σε Ρολά	ロール状商品の情報	Ritināmie produkti - platums, garums, iekšējais diametrs, virziens un savijums	Produtos em Rolo - Largura, Comprimento, Diâmetro, Direção e Emendas	Productos en rollo (ancho, largo, diámetro del núcleo, dirección, empalmes)	สินค้าที่เป็นม้วน (กว้าง ยาว เส้นผ่านศูนย์กลางของแกน ทิศทาง การเชื่อมต่อ)	Prodotti in rotoli (larghezza, lunghezza, diametro interno, senso di svolgimento, giunte)
8002	Cellular mobile telephone identifier	معرف الهاتف الجوال	行動電話代碼	蜂窝移动电话标识符	Elektronisch serienummer van mobiele telefoon	Cellular Mobile Telephone Identifier	Σειριακός Κωδικός Αναγνώρισης Κινητών Τηλεφώνων	携帯電話シリアル番号	Mobilā tālruņa identifikācijas numurs	Número Série Electrónico para Telefones Celulares	Identificador de telefonía móvil celular	ตัวบ่งชี้โทรศัพท์เคลื่อนที่	Numero seriale di un telefono cellulare
8003	Global Returnable Asset Identifier (GRAI)	معرّف عالمي للأصول المتحركة GRAI	全球可回收資產代碼 (GRAI)	全球可回收资标识符 (GRAI)	Global Returnable Asset Identifier (GRAI)	Global Returnable Asset Identifier (GRAI)	Διεθνής Κωδικός Αναγνώρισης Επιστρεφόμενων Παγίων - GRAI	リターナブル資産 識別番号（GRAI）	Globālais Vairākkārt Izmantojamā Aktīva Identifikators (GRAI)	Número Global de Ativos Retornáveis (GRAI)	Identificador Global de Bien Retornable (GRAI)	เลขหมายบ่งชี้สินทรัพย์ที่ต้องส่งคืนสากล (GRAI)	Codice di identificazione di un asset riutilizzabile (GRAI)
8004	Global Individual Asset Identifier (GIAI)	معرّف عالمي للأصول الثابتة GIAI	全球內部資產單品代碼 (GIAI)	全球单个资产标识符 (GIAI)	Global Individual Asset Identifier (GIAI)	Global Individual Asset Identifier (GIAI)	Διεθνής Κωδικός Αναγνώρισης Μεμονωμένων Παγίων - GIAI	資産管理識別番号（GIAI）	Globālais Individuālā Aktīva Identifikators (GIAI)	Número Global Individual de Activo/Ativos (GIAI)	Identificador Global de Bien Individual (GIAI)	เลขหมายบ่งชี้สินทรัพย์สากล (GIAI)	Codice di identificazione di un asset individuale (GIAI)
8005	Price per unit of measure	السعر لكل وحدة قياس	Price per unit of measure	单价	Prijs per meeteenheid	Preis pro Maßeinheit	Τιμή ανά μονάδα μέτρησης	店内など特定の範囲に限定して使用する単位当たり価格	Vienas mērvienības cena	Preço por Unidade de Medida	Precio por unidad de medida	ราคาต่อหน่วยการวัด	Prezzo per unità di misura
8006	Identification of an individual trade item (ITIP) piece	تعريف قطعة الوحدة التجارية المفردة	各交易品項部件代碼	贸易项目组件的标识符	Identificatie van een deel van een artikel	Identifikation eines einzelnen Teils einer Handelseinheit	Κωδικός Αναγνώρισης Υποτμήματος Μιας Μονάδας Εμπορίας	商品（GTIN）を構成する部品、部材番号	Atsevišķas tirdzniecības vienības identifikācija	Identificação de um componente individual de um Item Comercial	Identificación de una pieza de artículo comercial individual	การบ่งชี้ส่วนประกอบรายชิ้นของสินค้า	Identificazione componenti di unità commerciali
8007	International Bank Account Number (IBAN)	رقم الحساب المصرفي الدولي (IBAN)	國際銀行帳號 (IBAN)	国际银行账号代码 (IBAN)	International Bank Account Number (IBAN)	Internationale Bankenverrechnungsnummer (IBAN)	Διεθνής Κωδικός Τραπεζικού Λογαριασμού - IBAN	国際銀行アカウント番号（IBAN）	Starptautiskais Bankas Konta Numurs (IBAN)	Número de Conta de Banco Internacional (IBAN)	Número de cuenta bancaria internacional (IBAN)	หมายเลขบัญชีสากล (IBAN)	Codice IBAN
8008	Date and time of production (YYMMDDhh[mm[ss]])	تاريخ ووقت الإنتاج	生產日期與時間 (YYMMDDhh[mm[ss]])	产品生产的日期与时间 (YYMMDDhh[mm[ss]])	Datum en tijd van productie (JJMMDDuu[mm[ss]])	Produktionsdatum und -zeit (JJMMTTSS[MM[SS]])	Ημερομηνία Και Ώρα Παραγωγής	製造日・製造時間	Izgatavošanas datums un laiks (GGMMDDhh[mm[ss]])	Data e Hora de Produção (AAMMDDHH) + (MMSS)	Fecha y hora de la producción (AAMMDDhh[mm[ss])	วันที่และเวลาผลิต YYMMDDhh[mm[ss]])	Data e ora di produzione (YYMMDDhh[mm[ss]])
8009	Optically Readable Sensor Indicator	مؤشر إستشعار بصري مقروء	光學辨識感測器指示碼	光学可读传感器表示符	Optisch leesbare sensor indicator	Indikator für einen optisch interpretierbaren Sensor	Οπτικά Αναγνώσιμος Αισθητήρας Ένδειξης	光学的読取りが可能なセンサーのインジケータ	Optiski nolasāms sensora indikators	Indicador de Sensor de Leitura Óptica	Indicador del sensor ópticamente legible	ตัวบ่งชี้เซ็นเซอร์ที่สามารถอ่านค่าได้ด้วยสายตา	Sensore leggibile in modo ottico
8010	Component/Part Identifier (CPID)	معرف المكون / الجزء (CPID)	零組件品項代碼 (CPID)	组件/部件代码 (CPID)	Component/Part Identifier (CPID)	Component/Part Identifier (CPID)	Κωδικός Αναγνώρισης Τμήματος / Προϊόντος	部品・構成品識別番号 （CPID）	Komponentes/daļas Identifikators (CPID)	Identificação Componente (CPID)	Identificador de componente / parte (CPID)	ตัวบ่งชี้ส่วนประกอบ/ชิ้นส่วน (CPID)	Identificativo componente/parte (CPID)
8011	Component/Part Identifier serial number (CPID SERIAL)	الرقم التسلسلي لمعرف المكون / الجزء (CPID SERIAL)	零組件序號 (CPID SERIAL)	组件/部件序号 (CPID SERIAL)	Component/Part Identifier serial number (CPID SERIAL)	Component/Part Identifier Serial Number (CPID SERIAL)	Σειριακός Αριθμός Κωδικού Αναγνώρισης Τμήματος / Προϊόντος	部品・構成品（CPID）のシリアル番号	Komponentes/daļas Identifikatora sērijas numurs (CPID SERIAL)	CPID Número de Série	Número de serie de identificador de componente / parte de (CPID DE SERIE)	เลขหมายเรียงลำดับบ่งชี้ส่วนประกอบ/ชิ้นส่วน (CPID SERIAL)	Numero seriale identificativo componente/parte
8012	Software version	معرف إصدار البرمجية	軟體型號	软件型号	Software versie	Software Version	Έκδοση Λογισμικού	ソフトウェアの バージョン	Programmatūras versija	Versão do Software	Versión del software	รุ่นของซอฟต์แวร์	Versione software
8013	Global Model Number (GMN)	رقم الطراز العالمي (GMN)	全球產品型號代碼 (GMN)	全球产品型号代码 (GMN)	Global Model Number (GMN)	Global Model Number (GMN)	Διεθνής Κωδικός Μοντέλου	モデル識別番号（GMN）	Globālais Modeļa Numurs (GMN)	Número Global do Modelo (GMN)	Número Global de Modelo (GMN)	เลขหมายระบุรุ่นสินค้าสากล (GMN)	Global Model Number (GMN)
8014	Highly Individualised Device Registration Identifier (HIDRI)	معرف تسجيل الجهاز الفردي للغاية (HIDRI)	高个性化医疗设备注册标识符（HIDRI）	高个性化医疗设备注册标识符（HIDRI）	Highly Individualised Device Registration Identifier (HIDRI)	Highly Individualised Device Registration Identifier (HIDRI)		個別性の高い機器の識別番号 （HIDRI）	Ļoti individualizēts ierīces reģistrācijas identifikators (HIDRI)	Identificador de registo de dispositivo altamente individualizado (HIDRI)		หมายเลขระบุการลงทะเบียนอุปกรณ์เฉพาะบุคคลสูง (HIDRI)	Identificativo di registrazione del dispositivo altamente individualizzato (HIDRI)
8017	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the provider of services	رقم مقدم الخدمة العالمية لتحديد العلاقة بين المشأة التي تقدم الخدمات ومقدم الخدمات	全球服務關係代碼，應用於各組織所提供服務與服務提供者間 (GSRN)	全球服务关系代码，用于标识服务关系中服务的提供方 (GSRN)	Global Service Relation Number (GSRN) voor het identificeren van de relatie tussen een organisatie en zijn leverancier van diensten	Global Service Relation Number (GSRN) zur Identifizierung der Beziehung zwischen Anbieter des Services und dem Erbringer	Διεθνής Κωδικός Σχέσης Παρεχόμενων Υπηρεσιών (GSRN) Για Τον Προσδιορισμό Της Σχέσης Μεταξύ Οργανισμών Που Προσφέρουν Υπηρεσίες Και Τον Πάροχο Των Υπηρεσιών	サービス提供者識別 番号（提供者GSRN）	Globālais pakalpojumu attiecību numurs (GSRN), lai identificētu attiecības starp pakalpojumu sniedzēju un pakalpojumu nodrošinātāju	Número de Relação do Serviço Global (GSRN) - Fornecedor	Número de Relación de Servicio Global para identificar la relación entre una organización que ofrece servicios y el proveedor de los servicios	เลขหมายความสัมพันธ์ของการให้บริการสากล (GSRN) เพื่อบ่งชี้ผู้ให้บริการ	Numero globale di relazione di servizio (GSRN) - per identificare la relazione tra l’organizzazione che offre servizi e il fornitore di servizi
8018	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the recipient of services	رقم مقدم الخدمة العالمية لتحديد العلاقة بين المنشـة التي تقدم الخدمات ومتلقي الخدمات	全球服務關係代碼，應用於各組織所提供服務與服務對象間 (GMN)	全球服务关系代码，用于标识服务关系中服务的接受方 (GSRN)	Global Service Relation Number (GSRN) voor het identificeren van de relatie tussen een organisatie die diensten levert en de ontvanger van diensten	Global Service Relation Number (GSRN) zur Identifizierung der Beziehung zwischen Anbieter des Services und dem Empfänger	Διεθνής Κωδικός Σχέσης Παρεχόμενων Υπηρεσιών (GSRN) Για Τον Προσδιορισμό Της Σχέσης Μεταξύ Οργανισμών Που Προσφέρουν Υπηρεσίες Και Τον Αποδέκτη Των Υπηρεσιών	サービス受益者識別 番号（受益者GSRN）	Globālais pakalpojumu attiecību numurs (GSRN), lai identificētu attiecības starp pakalpojumu sniedzēju un pakalpojumu saņēmēju	Número de Relação do Serviço Global (GSRN) - Beneficiário	Número de Relación de Servicio Global para identificar la relación entre una organización que ofrece servicios y el receptor de los servicios	เลขหมายความสัมพันธ์ของการให้บริการสากล (GSRN) เพื่อบ่งชี้ผู้รับบริการ	Numero globale di relazione di servizio (GSRN) - per identificare la relazione tra l’organizzazione che offre servizi e il destinatario di servizi
